{{c1::spähen}} : <span class="content">forschend, suchend blicken</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">aus dem Fenster, um die Ecke, durch die Gardine spähen</span></span></div>
{{c1::Anblick}} : <span class="content">etwas, was sich dem Auge darbietet; Bild</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein erfreulicher, trostloser Anblick</span></span></li><li><span class="beispiel"><span class="font_normal">das war kein schöner Anblick</span></span></li><li><span class="beispiel"><span class="font_normal">ihr den traurigen Anblick ersparen</span></span></li><li><span class="beispiel"><span class="font_normal">sich in einen Anblick vertiefen, verlieren</span></span></li></ul></div><div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><span class="iwtext">ein Anblick für Götter</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich:  </span><span class="iw_rumpf_info"><span class="font_normal">ein köstlicher, lustiger Anblick</span></span>)</span></div>
{{c1::Anblick}} : <span class="content">das Anblicken, Betrachten; Beobachten</span>	<div class="Grammatik"><h3>Grammatik</h3><dl>ohne Plural</dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">sie erschrak bei seinem Anblick</span></span></div>
{{c1::beklagen}} : <span class="content">über einen Verlust, Todesfall Empfindungen des Schmerzes, der Trauer in [lauten] Worten äußern</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">gehoben</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">Menschenleben waren nicht zu beklagen <span class="font_kursiv">(es gab keine Toten bei etwas)</span></span></span></div>
{{c1::beklagen}} : <span class="content">bedauern; über etwas klagen</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">den sozialen und politischen Wandel beklagen</span></span></div>
{{c1::beklagen}} : <span class="content">jemandem gegenüber seine Unzufriedenheit über ein Unrecht o. Ä. klagend äußern</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich beklagen</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ich habe mich bei ihm über diese/wegen dieser Ungerechtigkeit beklagt</span></span></li><li class="noBottomMargin">&lt;auch ohne Präpositionalobjekt&gt;: <span class="beispiel"><span class="font_normal">eigentlich könnt ihr euch doch nicht beklagen</span></span> <span class="font_kursiv">(könnt ihr doch zufrieden sein)</span></li></ul></div>
{{c1::Sinn}} : <span class="content">Fähigkeit der Wahrnehmung und Empfindung (die in den Sinnesorganen ihren Sitz hat)</span>	<div class="Grammatik"><h3>Grammatik</h3><dl>meist im Plural</dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">wache, stumpfe Sinne</span></span></li><li><span class="beispiel"><span class="font_normal">die fünf Sinne, nämlich das Hören, das Sehen, das Riechen, das Schmecken und das Tasten</span></span></li><li><span class="beispiel"><span class="font_normal">etwas schärft die Sinne</span></span></li><li><span class="beispiel"><span class="font_normal">etwas mit den Sinnen wahrnehmen, aufnehmen</span></span></li><li><span class="beispiel"><span class="font_normal">seiner Sinne nicht mehr mächtig sein, nicht mehr Herr seiner Sinne sein <span class="font_kursiv">(sich nicht mehr beherrschen können, außer sich sein)</span></span></span></li></ul></div><div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><ul><li><span class="iwtext">sechster Sinn</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">besonderer Instinkt, mit dem sich etwas richtig einschätzen, vorausahnen lässt: <span class="beispiel"><span class="font_normal">einen sechsten Sinn haben</span></span></span></span>)</span></li><li><span class="iwtext">seine fünf Sinne zusammennehmen</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich:  </span><span class="iw_rumpf_info"><span class="font_normal">aufpassen, sich konzentrieren</span></span>)</span></li><li><span class="iwtext">seine fünf Sinne nicht beisammenhaben</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich:  </span><span class="iw_rumpf_info"><span class="font_normal">nicht recht bei Verstand sein</span></span>)</span></li><li><span class="iwtext">[nicht] bei Sinnen sein</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">[nicht] bei klarem Verstand sein: <span class="beispiel"><span class="font_normal">bist du noch bei Sinnen?</span></span></span></span>)</span></li><li class="noBottomMargin"><span class="iwtext">[wie] von Sinnen sein</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">überaus erregt sein, außer sich sein: <span class="beispiel"><span class="font_normal">sie war wie von Sinnen vor Wut</span></span></span></span>)</span></li></ul></div>
{{c1::Sinn}} : <span class="content">Gefühl, Verständnis für etwas; innere Beziehung zu etwas</span>	<div class="Grammatik"><h3>Grammatik</h3><dl>ohne Plural</dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">sie hat [viel] Sinn für Blumen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">er hatte wenig Sinn für Familienfeste <span class="font_kursiv">(mochte sie nicht)</span></span></span></li></ul></div>
{{c1::Sinn}} : <span class="content">jemandes Gedanken, Denken</span>	<div class="Grammatik"><h3>Grammatik</h3><dl>ohne Plural</dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">gehoben</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">jemandes Sinn ist auf etwas gerichtet</span></span></li><li><span class="beispiel"><span class="font_normal">bei der Besetzung der Stelle hatte man ihn im Sinn <span class="font_kursiv">(hatte man an ihn gedacht, wollte man ihn berücksichtigen)</span></span></span></li><li><span class="beispiel"><span class="font_normal">er hat ganz in meinem Sinn <span class="font_kursiv">(wie ich es mir gewünscht habe, hätte) </span>gehandelt</span></span></li><li><span class="beispiel"><span class="font_normal">das ist [nicht ganz] nach meinem Sinn <span class="font_kursiv">(gefällt mir so [nicht ganz])</span></span></span></li></ul></div><div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><ul><li><span class="iwtext">jemandem steht der Sinn [nicht] nach etwas</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">jemand hat [keine] Lust zu etwas, ist [nicht] auf etwas aus</span></span>)</span></li><li><span class="iwtext">jemandem nicht aus dem Sinn gehen</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal"><a href="http://www.duden.de/rechtschreibung/Kopf#b2-Bedeutung-3" meta-ref-anker="#b2-Bedeutung-3" meta-ref-id="10030895" meta-ref-name="Kopf" meta-type="art">Kopf 3</a></span></span>)</span></li><li><span class="iwtext">jemandem durch den Sinn gehen/fahren</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">jemandem [plötzlich] einfallen und ihn beschäftigen</span></span>)</span></li><li><span class="iwtext">etwas im Sinn haben</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">etwas Bestimmtes vorhaben</span></span>)</span></li><li><span class="iwtext">mit jemandem, etwas nichts im Sinn haben</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">mit jemandem, etwas nichts zu tun haben wollen</span></span>)</span></li><li><span class="iwtext">jemandem in den Sinn kommen</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">jemandem einfallen</span></span>)</span></li><li class="noBottomMargin"><span class="iwtext">jemandem nicht in den Sinn wollen</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal"><a href="http://www.duden.de/rechtschreibung/Kopf#b2-Bedeutung-3" meta-ref-anker="#b2-Bedeutung-3" meta-ref-id="10030895" meta-ref-name="Kopf" meta-type="art">Kopf 3</a></span></span>)</span></li></ul></div>
{{c1::Sinn}} : <span class="content">Sinnesart, Denkungsart</span>	<div class="Grammatik"><h3>Grammatik</h3><dl>ohne Plural</dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">gehoben</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">seine Frau hat einen realistischen Sinn</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">sie war frohen Sinnes</span></span></li></ul></div>
{{c1::Sinn}} : <span class="content">gedanklicher Gehalt, Bedeutung; Sinngehalt</span>	<div class="Grammatik"><h3>Grammatik</h3><dl>ohne Plural</dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">der verborgene, geheime, tiefere Sinn einer Sache</span></span></li><li><span class="beispiel"><span class="font_normal">der Sinn seiner Worte blieb mir verborgen</span></span></li><li><span class="beispiel"><span class="font_normal">den Sinn von etwas begreifen</span></span></li><li><span class="beispiel"><span class="font_normal">etwas ergibt [k]einen Sinn</span></span></li><li><span class="beispiel"><span class="font_normal">etwas macht [k]einen Sinn <span class="font_normal">(umgangssprachlich; </span><span class="font_kursiv">etwas ergibt [k]einen Sinn, ist [nicht] verständlich, sinnvoll; </span>nach englisch something makes sense)</span></span></li><li><span class="beispiel"><span class="font_normal">jemandes Äußerung dem Sinne nach wiedergeben</span></span></li><li><span class="beispiel"><span class="font_normal">im engeren, weiteren Sinn</span></span></li><li><span class="beispiel"><span class="font_normal">im Sinne des Gesetzes <span class="font_kursiv">(so, wie es das entsprechende Gesetz vorsieht)</span></span></span></li></ul></div><div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><span class="iwtext">[nicht] im Sinne des Erfinders sein</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich:  </span><span class="iw_rumpf_info"><span class="font_normal">[nicht] in jemandes ursprünglicher Absicht liegen</span></span>)</span></div>
{{c1::Sinn}} : <span class="content">Ziel und Zweck, Wert, der einer Sache innewohnt</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">etwas hat seinen Sinn verloren</span></span></li><li><span class="beispiel"><span class="font_normal">es hat keinen, wenig, nicht viel Sinn <span class="font_kursiv">(ist [ziemlich] sinnlos, zwecklos), </span>damit zu beginnen</span></span></li><li><span class="beispiel"><span class="font_normal">etwas macht keinen/wenig Sinn <span class="font_normal">(umgangssprachlich; </span><span class="font_kursiv">hat keinen/wenig Sinn; </span>nach englisch it doesn't make [any] sense)</span></span></li><li><span class="beispiel"><span class="font_normal">nach dem Sinn des Lebens fragen</span></span></li><li><span class="beispiel"><span class="font_normal">etwas ist ohne Sinn <span class="font_kursiv">(ist sinnlos)</span></span></span></li></ul></div><div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><ul><li><span class="iwtext">ohne Sinn und Verstand</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">ohne jede Überlegung; unsinnig, sinnlos</span></span>)</span></li><li class="noBottomMargin"><span class="iwtext">weder Sinn noch Verstand haben</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal">völlig unsinnig sein</span></span>)</span></li></ul></div>
{{c1::zuversichtlich}} : <dd class="content">voller Zuversicht, hoffnungsvoll, optimistisch</dd>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine zuversichtliche Stimmung</span></span></li><li><span class="beispiel"><span class="font_normal">mit zuversichtlicher Miene</span></span></li><li><span class="beispiel"><span class="font_normal">da bin ich ganz zuversichtlich</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">die Ärztin gibt sich zuversichtlich</span></span></li></ul></div>
{{c1::verlegen}} : <span class="content">an eine andere als die sonst übliche Stelle legen und dadurch schwer auffindbar machen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">den Schlüssel verlegen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">ich habe meinen Pass verlegt</span></span></li></ul></div>
{{c1::verlegen}} : <span class="content">(etwas, wofür ein bestimmter Zeitpunkt bereits vorgesehen war) auf einen anderen Zeitpunkt legen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine Tagung, einen Termin verlegen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">die Premiere ist [auf nächste Woche] verlegt worden</span></span></li></ul></div>
{{c1::verlegen}} : <span class="content">(jemanden, etwas) von einem bisher innegehabten Ort an einen anderen Ort legen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine Haltestelle verlegen</span></span></li><li><span class="beispiel"><span class="font_normal">den Wohnsitz aufs Land verlegen</span></span></li><li><span class="beispiel"><span class="font_normal">die Hauptverwaltung wurde in eine andere Stadt verlegt</span></span></li><li><span class="beispiel"><span class="font_normal">den Patienten auf eine andere Station verlegen</span></span></li><li><span class="beispiel"><span class="font_normal">sein Darmausgang wurde verlegt</span></span></li><li class="noBottomMargin">&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">der Dichter verlegt die Handlung nach Mailand, ins 18. Jahrhundert</span></span></li></ul></div>
{{c1::verlegen}} : <span class="content"><a href="/rechtschreibung/legen#b2-Bedeutung-4" meta-ref-anker="#b2-Bedeutung-4" meta-ref-id="10085927" meta-ref-name="legen" meta-type="art">legen (4)</a></span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Fachsprache</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">Gleise, Rohre, Leitungen verlegen</span></span></li><li><span class="beispiel"><span class="font_normal">Kabel im Bürgersteig, unter der Fahrbahn verlegen</span></span></li><li><span class="beispiel"><span class="font_normal">Laminat, Teppichboden im Wohnzimmer verlegen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">er will das Parkett selbst verlegen</span></span></li></ul></div>
{{c1::verlegen}} : <span class="content"><a href="/rechtschreibung/versperren#b2-Bedeutung-1a" meta-ref-anker="#b2-Bedeutung-1a" meta-ref-id="10101873" meta-ref-name="versperren" meta-type="art">versperren (1a)</a>, <a href="/rechtschreibung/blockieren#b2-Bedeutung-2a" meta-ref-anker="#b2-Bedeutung-2a" meta-ref-id="10012242" meta-ref-name="blockieren" meta-type="art">blockieren (2a)</a></span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">jemandem den Weg, den Zugang verlegen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">den Truppen war der Rückzug verlegt</span></span></li></ul></div>
